Title,First Name,Middle Name,Last Name,Mobile Phone,E-mail Address
Sig.,Mario,,Rossi,123456789,Mario.Rossi@studente.com
Sig.ra,Luigi,Antonio,Verdi,987654321,Luigi.Verdi@studente.com
Sig.ra,Anna,,Bianchi,555123456,Anna.Bianchi@studente.com
Sig.,Giovanna,,Moretti,333444555,Giovanna.Moretti@studente.com
Sig.,Paolo,,Ricci,666777888,Paolo.Ricci@studente.com
Sig.ra,Laura,Maria,Ferrari,111222333,Laura.Ferrari@studente.com
Sig.ra,Marco,,Conti,999000111,Marco.Conti@studente.com
Sig.,Francesca,,Romano,777888999,Francesca.Romano@studente.com
Sig.,Alessio,,Mancini,444555666,Alessio.Mancini@studente.com
Sig.ra,Simona,,Galli,888999000,Simona.Galli@studente.com
Sig.ra,Roberto,,Marchetti,222333444,Roberto.Marchetti@studente.com
Sig.,Martina,Maria,Lombardi,555666777,Martina.Lombardi@studente.com
Sig.ra,Andrea,,Barbieri,123789456,Andrea.Barbieri@studente.com
Sig.ra,Riccardo,,Morelli,987654321,Riccardo.Morelli@studente.com
Sig.,Giulia,,Gentile,456789123,Giulia.Gentile@studente.com
Sig.,Eleonora,,Riva,789123456,Eleonora.Riva@studente.com
Sig.ra,Luca,,Pellegrini,321654987,Luca.Pellegrini@studente.com
Sig.,Valentina,,D'Amico,654987321,Valentina.DAmico@studente.com
Sig.ra,Davide,,Serra,111222333,Davide.Serra@studente.com
Sig.ra,Claudia,,Minnini,333999777,Claudia.Minnini@studente.com
Sig.ra,Vitaliia,,Stavytska,777888555,Vitaliia.Stavystka@studente.com
Sig.ra,Sandy,,Camargo,555444777,Sandy.Camargo@studente.com
